mt,lat,lon
Washington,44.2706,-71.3033
Adams,44.3203,-71.2909
Jefferson,44.3045,-71.3176
Monroe,44.2556,-71.3220
Madison,44.32833333,-71.27833333
Lafayette,44.16055556,-71.64416667
Lincoln,44.15972222,-71.65166667
South Twin,44.19027778,-71.55888889
Carter Dome,43.26694444,-71.17888889
