lat,lon,id
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
44.2706,-71.3033,2789131009
44.2556,-71.322,2789131009
